,city,monthly_cost_of_living
300,knoxville-tn,
301,kokomo-in,
302,la-crosse-wi,
303,la-porte-in,
304,lafayette-in,
305,lafayette-la,
306,lake-charles-la,
307,lake-orion-mi,
308,lakeland-fl,
309,lancaster-ca,
310,lancaster-pa,
311,lansing-mi,
312,laramie-wy,
313,laredo-tx,
314,las-cruces-nm,
315,las-vegas-nv,
316,laurel-md,
317,lawrence-ks,
318,lawrenceville-ga,
319,lawton-ok,
320,lexington-park-md,
321,lexington-ky,
322,lima-oh,
323,lincoln-ne,
324,lisle-il,
325,little-rock-ar,
326,livermore-ca,
327,logan-ut,
328,lompoc-ca,
329,london-ky,
330,long-beach-ca,
331,longview-tx,
332,longview-wa,
333,los-angeles-ca,
334,los-gatos-ca,
335,louisville-ky,
336,lubbock-tx,
337,lynchburg-va,
338,macomb-mi,
339,macon-ga,
340,madison-wi,
341,manassas-va,
342,manchester-nh,
343,manhattan-ks,
344,mansfield-oh,
345,marietta-ga,
346,marquette-mi,
347,martinez-ca,
348,martinsburg-wv,
349,massapequa-ny,
350,maui-hi,
351,mcallen-tx,
352,mchenry-il,
353,mckinney-tx,
354,medford-ma,
355,medford-or,
356,melbourne-fl,
357,memphis-tn,
358,merced-ca,
359,merrillville-in,
360,mesa-az,
361,miami-fl,
362,midland-mi,
363,midland-tx,
364,milwaukee-wi,
365,minneapolis-mn,
366,minot-nd,
367,missoula-mt,
368,mobile-al,
369,modesto-ca,
370,moline-il,
371,montclair-nj,
372,monterey-ca,
373,montgomery-al,
374,morgantown-wv,
375,morristown-nj,
376,morrisville-pa,
377,moscow-id,
378,mount-pleasant-mi,
379,mount-vernon-wa,
380,mountain-view-ca,
381,murfreesboro-tn,
382,murrieta-ca,
383,muskegon-mi,
384,myrtle-beach-sc,
385,nacogdoches-tx,
386,napa-ca,
387,naperville-il,
388,naples-fl,
389,nashua-nh,
390,nashville-tn,
391,new-bedford-ma,
392,new-bern-nc,
393,new-braunfels-tx,
394,new-city-ny,
395,new-haven-ct,
396,new-orleans-la,
397,new-port-richey-fl,
398,new-york-ny,
399,newark-de,
400,newark-nj,
401,newport-beach-ca,
402,newport-news-va,
403,newport-or,
404,newport-ri,
405,newton-ma,
406,norfolk-va,
407,normal-il,
408,norman-ok,
409,north-brunswick-nj,
410,north-east-md,
411,northampton-ma,
412,norwalk-ct,
413,norwich-ct,
414,o-fallon-il,
